QuestionType,;Question,;QuestionID,;Answer
radio,;UIST is an amazing conference,;q1,;1
radio,;VR is a beautiful research tool,;q2,;2
radio,;Happiness is the key to success,;q3,;3
radio,;Debugging is awesome,;q4,;4
radio,;I like fixing bugs,;q5,;5
radio,;I would use the VRQuestionnaireToolkit,;q6,;6
radioGrid,;Hololens_The system was easy to use,;q7,;5
radioGrid,;Oculus Rift_The system was easy to use,;q7,;4
radioGrid,;Vive_The system was easy to use,;q7,;3
radioGrid,;Magic Leap_The system was easy to use,;q7,;2
radioGrid,;Hololens_The system was easy to use,;q8,;1
radioGrid,;Oculus Rift_The system was easy to use,;q8,;2
radioGrid,;Vive_The system was easy to use,;q8,;3
radioGrid,;Magic Leap_The system was easy to use,;q8,;4
checkbox,; If you don’t use VR frequently, what is keeping you from adopting this? -It's too expensive,;q9,;
checkbox,; If you don’t use VR frequently, what is keeping you from adopting this? -The technology isn't that good yet ,;q9,;1
checkbox,; If you don’t use VR frequently, what is keeping you from adopting this? -There is not enough content and/or games ,;q9,;1
checkbox,; If you don’t use VR frequently, what is keeping you from adopting this? -I don't like wearing the headset ,;q9,;
checkbox,; If you don’t use VR frequently, what is keeping you from adopting this? -The experience isn't immersive enough,;q9,;1
checkbox,; If you don’t use VR frequently, what is keeping you from adopting this? -The experience isn't better than traditional gaming,;q9,;
linearSlider,;Temporal Demand:			How hurried or rushed was the pace of the task?,;s1,;2
linearSlider,;Physical Demand:				How physically demanding was the task?,;s2,;3
linearSlider,;Mental Demand:				How mentally demanding was the task?,;s3,;16
linearGrid,;Mental Demand:				How mentally demanding was the task?,;s4,;6
linearGrid,;Physical Demand:				How physically demanding was the task?,;s5,;17
linearGrid,;Temporal Demand:		    How hurried or rushed was the pace of the task?,;s6,;17
dropdown,;Demanding,;d1,;2
dropdown,;Mental,;d2,;1
dropdown,;Physical,;d3,;2

